node,HGPA_label,NMF_label
SAP_SCM,3,2
SAP_Security,3,2
SAS,14,4
SMS,13,14
SQLite,8,11
SYSPRO,12,8
Sales,5,3
Sales_Analysis,5,3
Sales_Enablement,5,3
Sales_Engineering,15,11
Sales_Management,7,12
Sales_Operations,11,3
Sales_Order,3,2
Sales_Planning,7,12
Sales_Process,13,5
Sales_Support,5,3
Salesforce,7,3
Salesforce_Communities,9,3
Salesforce_Development,7,3
Salesforce_Lightning,14,9
Salesforce_Marketing_Cloud,6,13
Salesforce_Object_Query_Language_(SOQL),9,3
Salesforce_Service_Cloud,5,3
Sapui5,3,2
Scalability,7,12
Scheduling,4,5
Scheme,13,9
Science_and_Research,2,7
ScreenFlow,0,14
Scripting,8,0
Search_Engine_Optimization,6,13
Secondary_Market,15,9
Security_Administration,3,2
Security_Controls,5,5
Security_Operations,10,10
Selenium,2,1
Servers,15,11
ServiceNow,10,10
Service_Improvement,10,10
Service_Level,6,10
Service_Management,6,10
Simple_Object_Access_Protocol_(SOAP),15,11
Simulation_and_Simulation_Software,4,5
Simulation_software,4,5
Sisense,4,0
Smartsheet,13,14
Social_Media,12,4
Software_Analysis,12,14
Software_Asset_Management,4,5
Software_Design,2,8
Software_Design_Patterns,2,8
Software_Development,1,14
Software_Development_Life_Cycle,0,14
Software_Documentation,11,14
Software_Engineering,2,7
Software_Features,11,3
Software_Installation,13,11
Software_Systems,9,11
Software_Testing,1,8
Solution_Architecture,7,12
Solution_Delivery,9,1
Solution_Design,4,5
SonarQube,8,0
Splunk,8,0
Spring,2,1
Spring_Boot,2,1
Spring_Framework,2,1
Stage,9,1
Stakeholder_Management,15,4
Statistical_Analysis,4,5
Statistical_analysis_software,4,5
Statistics,6,10
Storage_Area_Network_(SAN),12,4
Storage_Management,14,9
Strategic_Decision-Making,15,9
Strategic_Partnership,11,14
Strategic_Planning,14,9
Strategic_Sourcing,4,5
Streamlines,11,3
Structured_Query_Reporter_(SQR),4,5
Succession_Planning,12,4
Suitescript,6,8
Supply_And_Demand,2,2
Supply_Chain_Management,4,5
Supply_Chain_Planning,13,7
Supply_Network_Planning,3,2
Surveys,14,4
