node,HGPA_label,NMF_label
Project_Management_Office_(PMO),9,6
Project_Planning,12,10
Project_Resources,12,12
Project_Stakeholders,5,3
Promotions_and_Campaigns,0,0
Proofreading,14,0
Proprietary_Software,13,8
Prototyping,4,5
Psychology,2,9
Public_Accounting,11,7
Public_Cloud,3,3
Public_Relations,2,9
Public_Transport,13,10
Purchasing,0,8
Pyspark,3,3
Python,7,1
Qualitative_Analysis,7,10
Quality_Assessment,5,1
Quality_Assurance_and_Control,11,5
Quality_Improvement,13,3
Quality_Management,8,3
Quantitative_Analysis,1,9
Quantitative_Data_Analysis,14,9
Quantitative_Research,13,3
Query_Languages,12,13
Query_Optimization,0,8
Query_Performance,12,12
R,5,13
RAID,9,6
REST_API_Development,14,8
RESTful_API,3,1
RabbitMQ,5,11
RapidMiner,10,4
Raw_Data,7,1
React,6,5
React_Native,0,8
Real_Time_Data,8,1
Recommender_Systems,4,5
Reconciliation,0,0
Records_Management,5,10
Recruitment,2,11
Recurrent_Neural_Network_(RNN),1,9
Redis,3,4
Reengineering,9,6
Refining,4,13
Registration,2,11
Regression_Analysis,13,13
Regular_Expressions,10,6
Regulatory_Affairs,4,13
Regulatory_Compliance,0,0
Regulatory_Requirements,4,13
Relational_Database_Management_Systems,4,5
Relational_Databases,10,4
Release_Management,8,3
Reliability_Engineering,11,5
Remuneration,13,10
Rendering,9,14
Renewable_Energy,5,1
Reporting_Tools,0,8
Reproducibility,7,7
Research_And_Development,2,9
Research_Papers,11,1
Resource_Allocation,7,4
Retail_Sales,6,0
Revenue_Accounting,0,0
Revenue_Cycle_Management,6,0
Revenue_Growth,5,11
Revenue_Management,1,9
Revisions,4,13
Risk_Analytics,4,13
Risk_Control,10,6
Risk_Management,4,13
Risk_Modeling,4,13
Robotic_Process_Automation,11,7
Robotics,13,3
Root_Cause_Analysis,5,4
Route,6,11
Royalties,13,8
Rubric,5,2
Ruby,10,14
Runbook,0,8
SAP,0,0
SAP_Business_Objects,12,5
SAP_CRM,8,3
SAP_Functional,13,3
SAP_HANA,13,3
SAP_Information_Steward,8,3
SAS,5,10
SQL_Server_Reporting_Services,6,5
Sales,14,2
Sales_Analysis,6,0
Sales_Operations,6,0
Sales_Process,1,0
Sales_Proposals,1,0
Sales_Records,0,0
Sales_Strategy,12,5
Sales_Support,10,4
Salesforce,8,3
Salesmanship,13,13
Scala,3,4
Scalability,9,6
Scenario_Analysis,1,9
Scheduling,4,5
SciPy,11,1
Science_and_Research,5,1
Scripting,9,6
Scripting_Languages,8,3
Sea_and_Waterway_Transportation,12,10
Seaborn,7,1
Search_Engine_Optimization,13,7
Search_Engines,1,0
Security_Assertion_Markup_Language_(SAML),9,6
Security_Awareness,14,1
Security_Controls,11,13
Security_Implementation,0,8
Segmentation_Analysis,1,2
Selenium,3,1
Semi-Structured_Data,7,4
Sendmail,9,6
Sentiment_Analysis,2,9
Server_Administration,9,6
